MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[60, 60, 40]",0.1,0.2,3,epoch_0,0.8933,0.0019,0.8139,0.1333,0.534,0.2306,0,0.8933,0.789,0.3875,1.3235
"[120, 60, 20]",0.1,0.2,3,epoch_0,0.8933,0.0019,0.8127,0.141,0.5484,0.2555,0,0.8933,0.7861,0.4261,1.3224
"[120, 60, 40]",0.1,0.2,3,epoch_1,0.8933,0.0019,0.8436,0.138,0.5625,0.2698,1,0.8933,0.8183,0.3149,1.3282
"[30, 20]",0.1,0.4,1,epoch_1,0.8933,0.0019,0.8224,0.1507,0.5302,0.2942,0,0.8933,0.8074,0.2567,0.727
"[60, 60]",0.1,0.4,1,epoch_3,0.8524,0.1152,0.8156,0.1509,0.519,0.2888,0,0.8938,0.8252,0.382,0.9046
"[60, 60, 40]",0.1,0.4,1,epoch_1,0.8947,0.0055,0.8541,0.0976,0.5745,0.2463,0,0.8933,0.829,0.4451,1.2606
"[120, 60, 20]",0.1,0.4,1,epoch_0,0.8933,0.0019,0.8112,0.1461,0.5548,0.2555,0,0.8933,0.8154,0.4301,1.4085
"[120, 60, 40]",0.1,0.4,1,epoch_0,0.8938,0.0021,0.8018,0.1113,0.4853,0.2387,1,0.8938,0.8181,0.3382,1.0124
"[30, 20]",0.1,0.4,3,epoch_1,0.8933,0.0019,0.8187,0.1566,0.5596,0.2777,0,0.8933,0.8152,0.3413,0.8195
"[60, 60]",0.1,0.4,3,epoch_0,0.8943,0.0043,0.8196,0.1609,0.5699,0.2748,0,0.8943,0.8274,0.418,1.0043
"[60, 60, 40]",0.1,0.4,3,epoch_1,0.8933,0.0019,0.851,0.1093,0.6056,0.236,0,0.8933,0.8184,0.4091,1.3337
"[120, 60, 20]",0.1,0.4,3,epoch_0,0.8938,0.0029,0.8193,0.1332,0.5853,0.2579,1,0.8971,0.8279,0.3563,1.0148
"[120, 60, 40]",0.1,0.4,3,epoch_0,0.8933,0.0019,0.8115,0.1385,0.5586,0.2435,573,0.8933,0.7345,0.3979,10000.0
"[30, 20]",0.1,0.6,1,epoch_0,0.8933,0.0019,0.7827,0.1452,0.481,0.2869,3,0.8933,0.8016,0.279,0.6856
"[60, 60]",0.1,0.6,1,epoch_1,0.8933,0.0019,0.802,0.1349,0.478,0.2532,0,0.8943,0.7854,0.3454,0.8782
"[60, 60, 40]",0.1,0.6,1,epoch_0,0.8943,0.003,0.7818,0.1385,0.4319,0.2198,0,0.8943,0.7302,0.2836,0.6412
"[120, 60, 20]",0.1,0.6,1,epoch_0,0.8933,0.0019,0.7734,0.1884,0.4892,0.2454,0,0.8933,0.7075,0.2519,0.5705
"[120, 60, 40]",0.1,0.6,1,epoch_1,0.8966,0.011,0.7606,0.0966,0.3767,0.1581,1,0.8966,0.726,0.2888,0.7202
"[30, 20]",0.1,0.6,3,epoch_0,0.8933,0.0019,0.7916,0.1432,0.5282,0.244,14,0.898,0.7894,0.3058,0.6616
"[60, 60]",0.1,0.6,3,epoch_1,0.8971,0.0107,0.8344,0.1181,0.5846,0.2269,1,0.8971,0.8223,0.3557,0.7601
"[60, 60, 40]",0.1,0.6,3,epoch_1,0.8943,0.003,0.7977,0.1301,0.4968,0.2388,1,0.8943,0.7841,0.4025,0.9117
"[120, 60, 20]",0.1,0.6,3,epoch_0,0.8933,0.0019,0.7756,0.1711,0.5201,0.278,0,0.8933,0.7608,0.2699,0.854
"[120, 60, 40]",0.1,0.6,3,epoch_2,0.8933,0.0019,0.7742,0.163,0.4535,0.2528,1,0.8994,0.7529,0.3632,0.979
"[30, 20]",1.0,0,1,epoch_0,0.8735,0.0585,0.4915,0.0334,0.1104,0.0123,8,0.8933,0.5047,0.1077,0.1391
"[60, 60]",1.0,0,1,epoch_0,0.891,0.0153,0.5368,0.1186,0.146,0.1169,0,0.891,0.571,0.1536,0.4512
"[60, 60, 40]",1.0,0,1,epoch_0,0.8933,0.0019,0.5,0.0,0.1067,0.0019,8,0.8933,0.5047,0.1077,0.1425
"[120, 60, 20]",1.0,0,1,epoch_0,0.8896,0.0093,0.5163,0.0392,0.1321,0.0601,0,0.8896,0.5289,0.1213,0.3776
"[120, 60, 40]",1.0,0,1,epoch_0,0.8938,0.0021,0.5041,0.0122,0.1108,0.013,0,0.8938,0.5023,0.1124,0.3913
"[30, 20]",1.0,0,3,epoch_0,0.8933,0.0019,0.4915,0.0334,0.1104,0.0123,14,0.8933,0.5047,0.1077,0.1822
"[60, 60]",1.0,0,3,epoch_0,0.8957,0.0082,0.5398,0.1259,0.1542,0.1414,0,0.8957,0.5681,0.1686,1.2209
"[60, 60, 40]",1.0,0,3,epoch_1,0.8933,0.0019,0.5009,0.0026,0.1069,0.0022,1,0.8933,0.5052,0.1083,10000.0
"[120, 60, 20]",1.0,0,3,epoch_0,0.891,0.0036,0.5166,0.0458,0.1245,0.048,0,0.891,0.5291,0.1189,0.4705
"[120, 60, 40]",1.0,0,3,epoch_0,0.8933,0.0019,0.5079,0.0158,0.1157,0.0204,0,0.8933,0.5067,0.1166,0.9929
