MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[60, 40]",0.1,0.1,0,708,0.9021,0.861,0.5758
"[120, 60, 40]",0.1,0.1,0,408,0.9021,0.869,0.6052
[20],0.1,0.2,0,996,0.8971,0.8341,0.5594
"[30, 20]",0.1,0.2,0,977,0.9007,0.8592,0.574
"[60, 20]",0.1,0.2,0,649,0.8994,0.8558,0.5825
"[60, 60, 20]",0.1,0.2,0,592,0.903,0.8691,0.5914
"[120, 60, 20]",0.1,0.2,0,399,0.9012,0.8635,0.5977
[40],0.1,0.2,0,969,0.8985,0.8452,0.5717
"[40, 40]",0.1,0.2,0,863,0.9012,0.8633,0.5884
"[60, 40]",0.1,0.2,0,622,0.8998,0.8577,0.5803
"[120, 60, 40]",0.1,0.2,0,390,0.9025,0.8681,0.6065
[20],0.1,0.3,0,995,0.8958,0.8362,0.559
"[30, 20]",0.1,0.3,0,991,0.9007,0.8583,0.5678
"[60, 20]",0.1,0.3,0,963,0.9007,0.8658,0.6006
"[60, 60, 20]",0.1,0.3,0,876,0.9021,0.8667,0.5951
"[120, 60, 20]",0.1,0.3,0,561,0.9003,0.8692,0.6046
[40],0.1,0.3,0,996,0.8971,0.8476,0.5709
"[40, 40]",0.1,0.3,0,903,0.9025,0.8629,0.5985
"[60, 40]",0.1,0.3,0,619,0.8998,0.8558,0.5841
"[120, 60, 40]",0.1,0.3,0,473,0.9043,0.8683,0.6109
[20],0.1,0.4,0,1000,0.8971,0.8383,0.5642
"[30, 20]",0.1,0.4,0,988,0.9016,0.8605,0.5752
"[60, 20]",0.1,0.4,0,974,0.9003,0.8651,0.6012
"[60, 60, 20]",0.1,0.4,0,807,0.9016,0.8663,0.5968
"[120, 60, 20]",0.1,0.4,0,733,0.9012,0.8682,0.6048
[40],0.1,0.4,0,1000,0.8989,0.8493,0.5746
"[40, 40]",0.1,0.4,0,1000,0.9016,0.8667,0.6018
"[60, 40]",0.1,0.4,0,767,0.9026,0.8627,0.5915
"[120, 60, 40]",0.1,0.4,0,646,0.9007,0.87,0.6055
[20],0.1,0.5,0,993,0.8958,0.8362,0.5595
"[30, 20]",0.1,0.5,0,997,0.9003,0.8584,0.5727
"[60, 20]",0.1,0.5,0,951,0.9012,0.8621,0.5954
"[60, 60, 20]",0.1,0.5,0,952,0.9021,0.8684,0.6101
