MLP_Layer,Learning_Rate,Dropout_Rate,Ensemble_Size,Mean_Best_Epoch,Mean_Accuracy,Std_Accuracy,Mean_AUROC,Std_AUROC,Mean_Avg_Precision,Std_Avg_Precision,Gen_Best_Epoch,Gen_Accuracy,Gen_AUROC,Gen_Avg_Precision,Calibration_Slope
"[120, 60, 40]",0.1,0.4,3,epoch_8,0.7588,0.1505,0.8498,0.1546,0.8143,0.1881,2,0.686,0.7752,0.7102,1.4476
"[30, 20]",0.1,0.6,1,epoch_3,0.7727,0.1456,0.8674,0.1219,0.8173,0.1789,0,0.7628,0.8393,0.8145,3.793
"[60, 60]",0.1,0.6,1,epoch_5,0.7635,0.1403,0.8548,0.1237,0.8093,0.1751,2,0.7279,0.7978,0.7282,1.2509
"[60, 60, 40]",0.1,0.6,1,epoch_5,0.6219,0.0917,0.788,0.1318,0.7665,0.1404,6,0.6395,0.7641,0.713,1.9879
"[120, 60, 20]",0.1,0.6,1,epoch_3,0.6764,0.1559,0.8082,0.1731,0.7769,0.2193,2,0.6465,0.7638,0.7096,1.7204
"[120, 60, 40]",0.1,0.6,1,epoch_4,0.6251,0.0687,0.768,0.1343,0.752,0.1496,12,0.686,0.717,0.6924,1.5475
"[30, 20]",0.1,0.6,3,epoch_7,0.7733,0.1436,0.8569,0.1382,0.8181,0.1847,0,0.714,0.8348,0.7692,2.484
"[60, 60]",0.1,0.6,3,epoch_1,0.7518,0.1616,0.8586,0.1244,0.8188,0.1766,1,0.7512,0.8052,0.7645,1.2935
"[60, 60, 40]",0.1,0.6,3,epoch_3,0.6868,0.1237,0.8337,0.1067,0.7934,0.1513,8,0.6512,0.7947,0.7185,2.5793
"[120, 60, 20]",0.1,0.6,3,epoch_5,0.7494,0.1232,0.8666,0.121,0.8291,0.1654,2,0.7581,0.8099,0.7825,2.2256
"[120, 60, 40]",0.1,0.6,3,epoch_4,0.7242,0.1304,0.851,0.1226,0.8285,0.1479,5,0.7233,0.8282,0.7618,2.0157
"[30, 20]",1.0,0,1,epoch_49,0.6032,0.0979,0.5924,0.145,0.5283,0.1423,7,0.5721,0.5938,0.515,0.514
"[60, 60]",1.0,0,1,epoch_5,0.6086,0.153,0.6783,0.2169,0.6553,0.1845,8,0.5256,0.6322,0.5746,0.3669
"[60, 60, 40]",1.0,0,1,epoch_0,0.5675,0.0049,0.6438,0.1705,0.5788,0.1802,0,0.5674,0.6318,0.5135,0.6512
"[120, 60, 20]",1.0,0,1,epoch_0,0.6171,0.1347,0.5878,0.1408,0.5186,0.1549,201,0.5674,0.5572,0.4983,0.5245
"[120, 60, 40]",1.0,0,1,epoch_1,0.4813,0.1098,0.581,0.1456,0.4992,0.1255,1,0.4814,0.6273,0.5619,0.5671
"[30, 20]",1.0,0,3,epoch_1,0.5,0.1108,0.6173,0.1817,0.5847,0.1842,1,0.5,0.6212,0.5133,0.4607
"[60, 60]",1.0,0,3,epoch_3,0.6607,0.0816,0.749,0.1776,0.7187,0.1728,3,0.6605,0.7489,0.653,0.8883
"[60, 60, 40]",1.0,0,3,epoch_0,0.5675,0.0049,0.7144,0.1794,0.6556,0.2082,0,0.5674,0.6839,0.5541,0.2346
"[120, 60, 20]",1.0,0,3,epoch_0,0.5888,0.0444,0.5905,0.174,0.5348,0.1649,25,0.593,0.596,0.5472,10000.0
"[120, 60, 40]",1.0,0,3,epoch_2,0.4612,0.0586,0.6347,0.1149,0.5507,0.0925,2,0.4605,0.6362,0.5611,0.5084
"[30, 20]",1.0,0.2,1,epoch_1,0.5035,0.0826,0.6579,0.1293,0.6013,0.1292,1,0.5047,0.6681,0.5882,0.3278
